"","Gene1","Gene2","Gene3","Gene4","Gene5","Gene6","Gene7","Gene8","Gene9","Gene10","Gene11","Gene12","Gene13","Gene14","Gene15","Gene16","Gene17","Gene18","Gene19","Gene20","Gene21","Gene22","Gene23","Gene24","Gene25","Gene26","Gene27","Gene28","Gene29","Gene30","Gene31","Gene32","Gene33","Gene34","Gene35","Gene36","Gene37","Gene38","Gene39","Gene40","Gene41","Gene42","Gene43","Gene44","Gene45","Gene46","Gene47","Gene48","Gene49","Gene50","Gene51","Gene52","Gene53","Gene54","Gene55","Gene56","Gene57","Gene58","Gene59","Gene60","Gene61","Gene62","Gene63","Gene64","Gene65","Gene66","Gene67","Gene68","Gene69","Gene70","Gene71","Gene72","Gene73","Gene74","Gene75","Gene76","Gene77","Gene78","Gene79"
"Batch1_Cell32",3.08936386849362,1.10806969774334,0,0,0,0,3.43594171443911,0,0.657900821301668,0,0,0.657900821301668,0,0,0,0,0,0,0,0,0.657900821301668,0,0,2.87885035071898,0,0,0,0,0,0,0,3.35678659604163,0,0,0,0,0,0,1.10806969774334,0,0,0,0,0,0,0,0.657900821301668,0,0,2.63228378535518,1.10806969774334,0,0,0.657900821301668,0,0,0,0,1.10806969774334,0,0,0,0,0.657900821301668,0,2.33471027492372,0,0,0,0,1.95937180595475,0,0,0,0,0,0,0,2.15921300278119
"Batch1_Cell33",2.81223495769014,0,1.76955479784155,0,1.14061091029794,0,3.0406227646499,0,0,0,0,1.76955479784155,0,0,0,0,0,0,0,1.76955479784155,0,0,0,0,0,0,0,0,0,0,0,2.20609020055989,0,0,1.14061091029794,0,0,0,0,0,0,0,0,0,0,0,1.14061091029794,1.14061091029794,0,1.76955479784155,0,0,1.14061091029794,1.14061091029794,0,0,0,1.14061091029794,0,0,0,0,0,1.14061091029794,0,2.20609020055989,0,0,0,0,1.14061091029794,0,2.81223495769014,0,0,0,0,0,3.41114813073225
"Batch1_Cell34",2.67641681219104,1.59562216647348,0.74337084029391,0,0,0,3.07294788039193,0,0,0,0,1.23153409133599,0,0,0.74337084029391,0,0,0,0,0,0.74337084029391,0,0,2.51565675797167,0,0,0,0,0.74337084029391,0,0,3.55891951212757,0.74337084029391,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74337084029391,0,0,0,0,0,0,1.59562216647348,0,0,0,0,1.8860939500141,0.74337084029391,1.23153409133599,0,0,0,0,3.28733572053165,0,0,0,0,0.74337084029391,0,0.74337084029391,0,0,0,0,0,2.33471027492372
"Batch1_Cell35",3.76371728718104,0.764727269376882,0.764727269376882,0,0.764727269376882,0,2.86620356138234,0,0,0.764727269376882,0,0,0,0,0.764727269376882,0,0,0,0,0.764727269376882,1.63093954567059,0,0,1.92455414034426,0,0,0,1.26189034667125,0,0,0,3.90505966521961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63093954567059,0,0,1.26189034667125,0.764727269376882,0,0,0,0,0,0,0,0,0,0,0,2.55908585068893,0,0,0,0,1.63093954567059,0,0,0,0,0,0,0,1.63093954567059
"Batch1_Cell36",3.23936342011292,0,0,0,0.995220451380693,0,3.07901762970229,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99282472605918,0,0,1.31619073348473,0,0,0,0.995220451380693,0,0.581777894990167,0.995220451380693,3.57618786353077,0,0,0.581777894990167,0,0,0,0.995220451380693,0,0,0,0,0,0,0,0,0,0,3.57618786353077,1.31619073348473,0,0,0.581777894990167,0,0,0,0,0,0,0,0,0,0.581777894990167,0,1.31619073348473,0,0,0,0,1.31619073348473,0,1.31619073348473,0,0,0,0,0,1.8005221382581
"Batch1_Cell37",3.62346776759277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2469313490395,0,1.93777658633258,0,1.93777658633258,0,0,0,0,0,0,0,4.37976184158933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93777658633258,0,0,0,0,0,0,0,1.93777658633258,1.93777658633258,0,0,0,0,0,0,0,0,0,0,0,1.93777658633258,0,0,0,0,0,0,0,0
"Batch1_Cell38",0,0,0,0,0,0,2.73601925432192,0,0,0,0,0,0,0,2.73601925432192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62346776759277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62346776759277,0,0,0,0,0,0,0,0,2.73601925432192,0,0,0,0,0,0,2.73601925432192,0,0,0,0,2.73601925432192,0,2.73601925432192,0,0,0,0,0,0
"Batch1_Cell39",0,0,0,0,0,0,2.18235364587949,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0139747234806,2.18235364587949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.68776287825209,0,0,0,2.18235364587949,0,0,0,0,2.18235364587949,0,2.18235364587949,0,0,2.18235364587949,0,0,0,0,0,0,2.18235364587949,0,0,0,0,0,0,0,0
"Batch1_Cell40",3.43657812632002,0,0,0,0,0,2.38173312449753,0,0.553810958143555,0,0,0,0,0,0.553810958143555,0,0,0,0,1.73975797731021,1.26536176695546,0,0,1.9289386196248,0,0,0.553810958143555,0,0,0,0.553810958143555,4.15756907931072,0,0,0,0,0,0,0.953016759247697,0,0,0,0,0,0,0,0,0.553810958143555,0,2.72585003712491,0.553810958143555,0,0,0,0,0,0,0.553810958143555,2.09616329656848,0,0,0,0,0.953016759247697,0,0.953016759247697,0,0,0,0,1.52197190009554,0,0.553810958143555,0,0.553810958143555,0,0,0,1.26536176695546
"Batch1_Cell41",1.52978681807542,0,0,0,0,0,3.38365708463907,0,0,0,0,2.25545945727281,0,0,1.52978681807542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82903990751895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52978681807542,0,2.73601925432192,1.52978681807542,0,0,0,0,0,0,0,1.52978681807542,0,0,0,0,0,0,2.25545945727281,0,0,0,0,2.73601925432192,0,1.52978681807542,0,0,0,0,0,2.25545945727281
